"","Identifier","Species","Reference effect size","Reference dominance system","Reference relatedness"
"428",428,"Callithrix_jacchus","(Abbott, McNeilly, Lunn, et al., 1981)","(Digby, 1995)","(Abbott, McNeilly, Lunn, Hulme, and Burden, 1981)"
"429",429,"Erythrocebus_patas","(Loy, 1981)","(Isbell & Pruetz 1988)",NA
"430",430,"Saimiri_sciureus","(Coe, Chen, Lowe, Davidson, and Levine, 1981)","(Mitchell, Boinski, and van
Schaik, 1991)",NA
"431",431,"Saimiri_sciureus","(Coe, Chen, Lowe, et al., 1981)","(Mitchell, Boinski, and van
Schaik, 1991)",NA
"432",432,"Saimiri_sciureus","(Coe, Chen, Lowe, et al., 1981)","(Mitchell, Boinski, and van
Schaik, 1991)",NA
"433",433,"Chlorocebus_aethiops","(Wrangham, 1981)","(HOLEKAMP and SMALE, 1991)",NA
"434",434,"Macaca_mulatta","(Blomquist, 2009)","(Deutsch and Lee, 1991)","(Chepko-Sade and Olivier, 1979)"
"435",435,"Pan_troglodytes","(BOESCH, 1997)","(Wittig et al. 2003)","(LUKAS, REYNOLDS, BOESCH, and VIGILANT, 2005)"
"436",436,"Pan_troglodytes","(BOESCH, 1997)","(Wittig et al. 2003)","(LUKAS, REYNOLDS, BOESCH, et al., 2005)"
"437",437,"Lemur_catta","(Nunn and Pereira, 2000)","(Taylor and Sussman, 1985)","(Taylor and Sussman, 1985)"
"438",438,"Macaca_fascicularis","(Schaik, Netto, Amerongen, and Westland, 1989)","(Wittig et al. 2003)",NA
"439",439,"Pan_troglodytes","(Stanton, Lonsdorf, Pusey, and Murray, 2017)",NA,"(Vigilant, Hofreiter, Siedel, et al., 2001)"
"440",440,"Pan_troglodytes","(Stanton, Lonsdorf, Pusey, et al., 2017)","(Wittig et al. 2003)","(Vigilant, Hofreiter, Siedel, et al., 2001)"
"441",441,"Gorilla_beringei","(Eckardt, Fawcett, and Fletcher, 2016)","(Robbins, Gerald-Steklis, Robbins, et al., 2005)","(Watts, 1994)"
"442",442,"Macaca_sylvanus","(Modolo and Martin, 2007)","(Paul and Kuester, 1987)","(Kümmerli and Martin, 2008)"
"443",443,"Lophocebus_albigena","(Arlet, Isbell, Kaasik, et al., 2014)","(Arlet, Isbell, Kaasik, Molleman, Chancellor, Chapman, Mänd, and Carey, 2014)",NA
"444",444,"Trachypithecus_phayrei","(Borries, Larney, Derby, and Koenig, 2004)","(Koenig, Larney, Lu, and Borries, 2004)","(Larney 2013)"
